member,activity,team,year,page,chunk_id
PhD student Elliott Chapman,supervised in the lab and organised team presentation training,Edinburgh,2015,Team:Edinburgh#Attributions_-_-_TEXT.html,0
Dr. David Clarke,provided assistance in the design and execution of lab experiments,Edinburgh,2015,Team:Edinburgh#Attributions_-_-_TEXT.html,0
Professor Chris French,previous research on biosensors was the basis for our project and provided experimental design input,Edinburgh,2015,Team:Edinburgh#Attributions_-_-_TEXT.html,0
Dr. Louise Horsfall,full-time supervisor who provided input and provision of lab materials,Edinburgh,2015,Team:Edinburgh#Attributions_-_-_TEXT.html,0
Dr. Jon Marles-Wright,"full-time supervisor who provided inspiration, input, team support, lab space, and materials",Edinburgh,2015,Team:Edinburgh#Attributions_-_-_TEXT.html,0
Dr. Jane Calvert,provided feedback on human practices content and activities,Edinburgh,2015,Team:Edinburgh#Attributions_-_-_TEXT.html,0
Professor Alistair Elfick,"provided feedback on experiments, presentations, and poster",Edinburgh,2015,Team:Edinburgh#Attributions_-_-_TEXT.html,0
PhD student Laura Tuck,provided assistance in the lab,Edinburgh,2015,Team:Edinburgh#Attributions_-_-_TEXT.html,0
Dr. Baojun Wang,provided input on the biological approach behind our project,Edinburgh,2015,Team:Edinburgh#Attributions_-_-_TEXT.html,0
Dr. Valentin Zulkower,offered assistance and input on the modeling of our biosensor,Edinburgh,2015,Team:Edinburgh#Attributions_-_-_TEXT.html,0
Luca Barone,designed our project's logo,Edinburgh,2015,Team:Edinburgh#Attributions_-_-_TEXT.html,0
Hamish Linhen,provided beautiful photographs of Edinburgh,Edinburgh,2015,Team:Edinburgh#Attributions_-_-_TEXT.html,0
Aimée Fletcher,provided beautiful photographs of Edinburgh,Edinburgh,2015,Team:Edinburgh#Attributions_-_-_TEXT.html,0
Constantine Talalaev,provided help and material in the Edinburgh university FabLab for laser cutting and 3D printing,Edinburgh,2015,Team:Edinburgh#Attributions_-_-_TEXT.html,0
Patrick Arant,spearheaded the policy and practices and assisted on the wiki,Edinburgh,2015,Team:Edinburgh#Attributions_-_-_TEXT.html,0
Andreea Cucu,designed the wiki and taught everyone how to put up content,Edinburgh,2015,Team:Edinburgh#Attributions_-_-_TEXT.html,0
Ivana Lapsanska,played key roles in both the characterisation of parts and policy and practices,Edinburgh,2015,Team:Edinburgh#Attributions_-_-_TEXT.html,0
Michelle Marufu,instrumental in the design and execution of characterisation of parts,Edinburgh,2015,Team:Edinburgh#Attributions_-_-_TEXT.html,0
Vicky Moynihan,provided valuable input for the policy and practices and assisted with InterLab measurements and general molecular biology,Edinburgh,2015,Team:Edinburgh#Attributions_-_-_TEXT.html,0
Aseem Narang,modeled and designed the physical device and its software,Edinburgh,2015,Team:Edinburgh#Attributions_-_-_TEXT.html,0
Liusaidh Owen,played a fundamental role in the design and creation of the 71 biobricks and was in charge of the InterLab study,Edinburgh,2015,Team:Edinburgh#Attributions_-_-_TEXT.html,0
