member,matching,year,team
PhD student Elliott Chapman,Elliott Chapman,2015,Edinburgh
Dr. David Clarke,David Clarke,2015,Edinburgh
Professor Chris French,Chris French,2015,Edinburgh
Dr. Louise Horsfall,Louise Horsfall,2015,Edinburgh
Dr. Jon Marles-Wright,Jon Marles-Wright,2015,Edinburgh
Dr. Jane Calvert,Jane Calvert,2015,Edinburgh
Professor Alistair Elfick,Alistair Elfick,2015,Edinburgh
PhD student Laura Tuck,LAURA TUCK,2015,Edinburgh
Dr. Baojun Wang,Baojun Wang,2015,Edinburgh
Dr. Valentin Zulkower,Valentin Zulkower,2015,Edinburgh
Luca Barone,other,2015,Edinburgh
Hamish Linhen,other,2015,Edinburgh
Aimee Fletcher,other,2015,Edinburgh
Constantine Talalaev,other,2015,Edinburgh
Aseem Narang,Aseem narang,2015,Edinburgh
NEFU_China 2015 team,other,2015,NEFU_China
Flight iGEM,other,2015,NEFU_China
Kostya Borisov,Konstantin Borisov,2015,Pitt
Dr. Jason Lohmueller,Jason Lohmueller,2015,Pitt
Dr. Alex Deiters,Alexander Deiters,2015,Pitt
Dr. Hanna Salman,other,2015,Pitt
Dr. Sanjeev Shroff,other,2015,Pitt
Dr. Cheryl Telmer,other,2015,Pitt
Integrated DNA Technologies,other,2015,Pitt
Ms. Alicia Kemp,other,2015,Pitt
Brian Lupish,other,2015,Pitt
Tatyana Yatsenko,other,2015,Pitt
University of Pittsburgh's Office of the Provost,other,2015,Pitt
The Swanson School of Engineering,other,2015,Pitt
The Department of Bioengineering,other,2015,Pitt
The Department of the Biological Sciences,other,2015,Pitt
The Department of Chemical & Petroleum Engineering,other,2015,Pitt
The Department of Chemistry,other,2015,Pitt
The Department of Electrical & Computer Engineering,other,2015,Pitt
Dr.S.Iyyapan,other,2015,SVCE_Chennai
Dr.Sulochana Somasundaram,other,2015,SVCE_Chennai
Mr.Arul,other,2015,SVCE_Chennai
Mrs.AmirthaPrabha,other,2015,SVCE_Chennai
Mr.Arun,Arun Kumar S,2015,SVCE_Chennai
Integrated Device Technology (IDT) company,other,2015,SVCE_Chennai
Priority Life sciences company,other,2015,SVCE_Chennai
Synergy Biotechnologies company,other,2015,SVCE_Chennai
SRM University,other,2015,SVCE_Chennai
Mr.T.Ilavarasu,other,2015,SVCE_Chennai
MrG.Satish Kumar,other,2015,SVCE_Chennai
Mr.J.Hariharan,other,2015,SVCE_Chennai
Mr.P.K. Praveen Kumar,other,2015,SVCE_Chennai
Mrs.N.Kanagam,other,2015,SVCE_Chennai
Mr. Neelavanan Natraj,other,2015,SVCE_Chennai
Mr. Benjamin,other,2015,SVCE_Chennai
Mr. Rajeev Sharma,other,2015,SVCE_Chennai
P.S.S Lakshmi,other,2015,SVCE_Chennai
K.Manikandan,other,2015,SVCE_Chennai
Mr.Murugavel,other,2015,SVCE_Chennai
BioKlone,other,2015,SVCE_Chennai
BrioBliss,other,2015,SVCE_Chennai
Dr. M. Sivanandham,Prof. M. Sivanandham,2015,SVCE_Chennai
Dr.Nalinkanth V. Ghone,Dr. Nalinkanth Ghone,2015,SVCE_Chennai
Abraham,Abraham K,2015,SVCE_Chennai
Aakash Kumar,Aakash kumar P,2015,SVCE_Chennai
Abishek Chozhan,Abhishek Chakraborty,2015,TP_CC-SanDiego
Alice Jin,other,2015,TP_CC-SanDiego
Professor Simpson Joseph,other,2015,TP_CC-SanDiego
Bryan Arias,other,2015,TP_CC-SanDiego
Xinying Shi,other,2015,TP_CC-SanDiego
Aaron Ward,other,2015,TP_CC-SanDiego
Krista Trappl,other,2015,TP_CC-SanDiego
Youssi Athar,other,2015,TP_CC-SanDiego
Reeta,other,2015,TP_CC-SanDiego
Dr. Shulei Sun,other,2015,TP_CC-SanDiego
Dr. Philip Weyman,other,2015,TP_CC-SanDiego
Spencer Scott,other,2015,TP_CC-SanDiego
Nanna Heinz,other,2015,UNIK_Copenhagen
Will Wright,other,2015,UNIK_Copenhagen
Kamil Bakowski,other,2015,UNIK_Copenhagen
Maya Bonde,other,2015,UNIK_Copenhagen
Bjorn Hamberger,Bjoern Hamberger,2015,UNIK_Copenhagen
Morten Bo Madsen,other,2015,UNIK_Copenhagen
Henrik Toft Simonsen,other,2015,UNIK_Copenhagen
Asmus Koefoed,other,2015,UNIK_Copenhagen
Christine Fabricius,other,2015,UNIK_Copenhagen
Hansol Bae,other,2015,UNIK_Copenhagen
Johanne Holm,other,2015,UNIK_Copenhagen
Tobias Wagner,other,2015,UNIK_Copenhagen
Carl Erik Olsen,other,2015,UNIK_Copenhagen
Britta Hamberger,other,2015,UNIK_Copenhagen
Nikolaj Lervad Hansen,other,2015,UNIK_Copenhagen
Dr James Chong,James Chong,2015,York
Dr Gavin Thomas,Gavin H. Thomas,2015,York
Dr Alison Parkin,Alison Parkin,2015,York
Professor Maggie Smith,Maggie Smith,2015,York
Robyn Whiting,Robyn whiting,2015,York
Nicola Charlton,other,2015,York
Dr Jen Dyson,other,2015,York
Nikki Begg,other,2015,York
Sam Farrell,other,2015,York
Andrea Bowen,other,2015,York
Dr Adrian Harrrison,other,2015,York
Professor Norman Maitland,other,2015,York
Dr Peter O'Toole,other,2015,York
Dr Daniela Barilla,other,2015,York
Dr Pedro Aguiar,other,2015,York
Emma Rand,other,2015,York
Dr Jamie Wood,other,2015,York
Kazuki Iizuka,other,2015,York
Daniel Upton,other,2015,York
Phil Roberts,other,2015,York
Louise Lindgren,other,2015,York
Andrew Collingwood,other,2015,York
Martin Hardgrave,other,2015,York
Dr Jay Keasling,other,2015,York
Eva Pan,other,2015,York
Richard Harris,other,2015,York
Anthony Hammersley,other,2015,York
Margaret Hammersley,other,2015,York
Maria Pickard,other,2015,York
The Rev'd Dr David Efird,other,2015,York
Lesley Rudolf,other,2015,York
Jayne Brotherton,other,2015,York
Thomas Sheldon-Baker,other,2015,York
Mat Milner,Mathew T Milner,2015,York
Katy Davis,Katharine Davis,2015,York
Endy Lab,Drew Endy,2016,BioBricks
BioBricks Foundation,other,2016,BioBricks
Drew Endy  PhD,Drew Endy,2016,BioBricks
Linda Kahl  JD,Linda Kahl,2016,BioBricks
Sarah Fletcher,other,2016,CLSB-UK
4 boys,other,2016,CLSB-UK
CLS iGEM team,other,2016,CLSB-UK
Imperial,other,2016,CLSB-UK
Collaborations,other,2016,CLSB-UK
Attributions,other,2016,CLSB-UK
Sponsors,other,2016,CLSB-UK
PI,other,2016,CLSB-UK
CLS,other,2016,CLSB-UK
Biology,other,2016,CLSB-UK
Team members,other,2016,CLSB-UK
Jake Mendel,Jacob Mendel,2016,CLSB-UK
Jake Hung,Jake Hung (Choso Hiroki),2016,CLSB-UK
Sara White,other,2016,CLSB-UK
Paulina Bartasun,other,2016,CLSB-UK
John Rowland,other,2016,CLSB-UK
Mrs S. Fletcher,other,2016,CLSB-UK
Kirsten Jensen,other,2016,CLSB-UK
Karen Polizzi,other,2016,CLSB-UK
Clemens,Clemens von Stengel,2016,CLSB-UK
Elias,Elias Manuelides,2016,CLSB-UK
Mr Zivanic,Adam Zivanic,2016,CLSB-UK
Tom Kelly,other,2016,CLSB-UK
James,James Ng,2016,CLSB-UK
City of London School Citizen Team,other,2016,CLSB-UK
Biology Department,other,2016,CLSB-UK
Kathinka,Kathinka Frieswijk,2016,Groningen
Daniel,Daniel Devlitsarov,2016,Groningen
Mareike,Mareike Schmidt,2016,Groningen
Yazzer Perez,other,2016,Groningen
Eunji Kang,other,2016,Groningen
Vitor Carvalho,other,2016,Groningen
creative outlet,other,2016,Groningen
Flaticon/Freepik,other,2016,Groningen
Lloyd Humphreys,other,2016,Groningen
Carla Dias,other,2016,Groningen
bilel djettaou,other,2016,Groningen
lipi,other,2016,Groningen
Anthony Bossard,other,2016,Groningen
To Uyen,other,2016,Groningen
Nikita Sokolov,other,2016,Groningen
Grant Taylor Sizemore,other,2016,Groningen
James Keuning,other,2016,Groningen
Gan Khoon Lay,other,2016,Groningen
Carlos Dias,other,2016,Groningen
Bluetip Design,other,2016,Groningen
Inka Mahlandt,other,2016,Groningen
Justin Knight,other,2016,Groningen
Matthia,Matthia Sabatelli,2016,Groningen
Carlos,other,2016,Groningen
Marco,Marco Gunnink,2016,Groningen
Luis,Luis Enrique Aguilar Suarez,2016,Groningen
Bara,other,2016,Groningen
Chris Veness,other,2016,Groningen
chitchcock,other,2016,Groningen
Jos Roerdink,other,2016,Groningen
Bente,Bente Hofstra,2016,Groningen
Ilona,Ilona Mager,2016,Groningen
G. van Willingen,other,2016,Groningen
National Cyber Security Center,other,2016,Groningen
JaapJan Hoogstins,other,2016,Groningen
C.J.B. van der Vlugt-Bergmans,other,2016,Groningen
Diana Flores Flores,other,2016,Groningen
Eike,Eike Karin Mahlandt,2016,Groningen
Sambit,Sambit Das,2016,Groningen
Ben L. Feringa,other,2016,Groningen
Mickel J. Hansen,other,2016,Groningen
Michael M. Lerch,other,2016,Groningen
