,member,activity,team,year,page,chunk_id
0,PhD student Elliott Chapman,supervised in the lab and organised team presentation training,Edinburgh,2015,Team:Edinburgh#Attributions_-_-_TEXT.html,0
1,Dr. David Clarke,provided assistance in the design and execution of lab experiments,Edinburgh,2015,Team:Edinburgh#Attributions_-_-_TEXT.html,0
2,Professor Chris French,previous research on biosensors was the basis for our project and provided experimental design input,Edinburgh,2015,Team:Edinburgh#Attributions_-_-_TEXT.html,0
3,Dr. Louise Horsfall,full-time supervisor who provided input and provision of lab materials,Edinburgh,2015,Team:Edinburgh#Attributions_-_-_TEXT.html,0
4,Dr. Jon Marles-Wright,"full-time supervisor who provided inspiration, input, team support, lab space, and materials",Edinburgh,2015,Team:Edinburgh#Attributions_-_-_TEXT.html,0
5,Dr. Jane Calvert,provided feedback on human practices content and activities,Edinburgh,2015,Team:Edinburgh#Attributions_-_-_TEXT.html,0
6,Professor Alistair Elfick,"provided feedback on experiments, presentations, and poster",Edinburgh,2015,Team:Edinburgh#Attributions_-_-_TEXT.html,0
7,PhD student Laura Tuck,provided assistance in the lab,Edinburgh,2015,Team:Edinburgh#Attributions_-_-_TEXT.html,0
8,Dr. Baojun Wang,provided input on the biological approach behind our project,Edinburgh,2015,Team:Edinburgh#Attributions_-_-_TEXT.html,0
9,Dr. Valentin Zulkower,offered assistance and input on the modeling of our biosensor,Edinburgh,2015,Team:Edinburgh#Attributions_-_-_TEXT.html,0
10,Luca Barone,designed our project's logo,Edinburgh,2015,Team:Edinburgh#Attributions_-_-_TEXT.html,0
11,Hamish Linhen,provided beautiful photographs of Edinburgh,Edinburgh,2015,Team:Edinburgh#Attributions_-_-_TEXT.html,0
12,Aimée Fletcher,provided beautiful photographs of Edinburgh,Edinburgh,2015,Team:Edinburgh#Attributions_-_-_TEXT.html,0
13,Constantine Talalaev,provided help and material in the Edinburgh university FabLab for laser cutting and 3D printing,Edinburgh,2015,Team:Edinburgh#Attributions_-_-_TEXT.html,0
14,Patrick Arant,spearheaded the policy and practices and assisted on the wiki,Edinburgh,2015,Team:Edinburgh#Attributions_-_-_TEXT.html,0
15,Andreea Cucu,designed the wiki and taught everyone how to put up content,Edinburgh,2015,Team:Edinburgh#Attributions_-_-_TEXT.html,0
16,Ivana Lapsanska,played key roles in both the characterisation of parts and policy and practices,Edinburgh,2015,Team:Edinburgh#Attributions_-_-_TEXT.html,0
17,Michelle Marufu,instrumental in the design and execution of characterisation of parts,Edinburgh,2015,Team:Edinburgh#Attributions_-_-_TEXT.html,0
18,Vicky Moynihan,provided valuable input for the policy and practices and assisted with InterLab measurements and general molecular biology,Edinburgh,2015,Team:Edinburgh#Attributions_-_-_TEXT.html,0
19,Aseem Narang,modeled and designed the physical device and its software,Edinburgh,2015,Team:Edinburgh#Attributions_-_-_TEXT.html,0
20,Liusaidh Owen,played a fundamental role in the design and creation of the 71 biobricks and was in charge of the InterLab study,Edinburgh,2015,Team:Edinburgh#Attributions_-_-_TEXT.html,0
21,Dominika Pelegrinova,stepped in anywhere in molecular biology where required and worked on making cell lysates for our enzyme characterisation,Edinburgh,2015,Team:Edinburgh#Attributions_-_-_TEXT.html,0
22,Brooke Rothschild-Mancinelli,designed and created the 71 biobricks and assisted in the InterLab study,Edinburgh,2015,Team:Edinburgh#Attributions_-_-_TEXT.html,0
23,NEFU_China 2015 team,funding from Northeast Forestry University,NEFU_China,2015,Team:NEFU China#Attributions_-_-_TEXT.html,1
24,NEFU_China 2015 team,"funding from College of Life Science, Northeast Forestry University",NEFU_China,2015,Team:NEFU China#Attributions_-_-_TEXT.html,1
25,NEFU_China 2015 team,"funding from College of Forestry, Northeast Forestry University",NEFU_China,2015,Team:NEFU China#Attributions_-_-_TEXT.html,1
26,NEFU_China 2015 team,"funding from College of Science, Northeast Forestry University",NEFU_China,2015,Team:NEFU China#Attributions_-_-_TEXT.html,1
27,NEFU_China 2015 team,use of laboratory space from Discipline of Developmental Biology,NEFU_China,2015,Team:NEFU China#Attributions_-_-_TEXT.html,1
28,NEFU_China 2015 team,access to laboratory equipment from Discipline of Developmental Biology,NEFU_China,2015,Team:NEFU China#Attributions_-_-_TEXT.html,1
29,NEFU_China 2015 team,guidance from Discipline of Developmental Biology,NEFU_China,2015,Team:NEFU China#Attributions_-_-_TEXT.html,1
30,NEFU_China 2015 team,improvement guidance from five instructors,NEFU_China,2015,Team:NEFU China#Attributions_-_-_TEXT.html,1
31,NEFU_China 2015 team,final presentation guidance from five instructors,NEFU_China,2015,Team:NEFU China#Attributions_-_-_TEXT.html,1
32,NEFU_China 2015 team,"help in designing wiki template from Wuhan wonmay web service Co.,Ltd",NEFU_China,2015,Team:NEFU China#Attributions_-_-_TEXT.html,1
33,NEFU_China 2015 team,assistance in improving online platform from team NUDT-China,NEFU_China,2015,Team:NEFU China#Attributions_-_-_TEXT.html,1
34,NEFU_China 2015 team,help from previous iGERMers for sharing experience and suggestions,NEFU_China,2015,Team:NEFU China#Attributions_-_-_TEXT.html,1
35,Flight iGEM,Generated by Flight iGEM,NEFU_China,2015,Team:NEFU China#Team_-_-_TEXT.html,2
