text,year,team,page
"[[""Neema Chirwa"", ""helping with supplies and materials""], [""Audrey Morin"", ""helping sort finances, sponsors, and other things related to the dry lab""], [""Lauren Narcross"", ""being available to help in dire needs""], [""Lauren Narcross"", ""training in various lab techniques""], [""David Colatriano"", ""being available to help in dire needs""], [""David Colatriano"", ""training in various lab techniques""], [""Jeremy Glass-Pilon"", ""being available to answer questions""], [""Jeremy Glass-Pilon"", ""showing new methods in experimental design""], [""Cory Campbell"", ""being available to answer questions""], [""Cory Campbell"", ""showing new methods in experimental design""], [""Shoham Mookerjee"", ""providing aid""], [""Shoham Mookerjee"", ""being an extra voice""], [""Dr. Joanne Turnbull"", ""contributing chemicals for protein expression and purification""], [""Dr. Andrew Wieczorek"", ""inspiring the 'Scaffococcus' project""], [""Dr. Malcolm Whiteway"", ""providing expertise and support""], [""Dr. Malcolm Whiteway"", ""challenging the team to do better""], [""Dr. Nawwaf Kharma"", ""inspiring the team""], [""Dr. Nawwaf Kharma"", ""showing broad possibilities in synthetic biology""]]",2015,Concordia,Team:Concordia#Attributions_-_-_TEXT.html
"[
[""Adithi Sundarakrishnan"", ""Cloning""],
[""Adithi Sundarakrishnan"", ""Lactis growth""],
[""Adithi Sundarakrishnan"", ""protein expression and purification""],
[""Adithi Sundarakrishnan"", ""protein assays""],
[""Adithi Sundarakrishnan"", ""lab waste management""],
[""Adithi Sundarakrishnan"", ""finance""],
[""Adithi Sundarakrishnan"", ""administration""],
[""Mathieu Husser"", ""project design""],
[""Mathieu Husser"", ""cloning""],
[""Mathieu Husser"", ""expression vector design""],
[""Mathieu Husser"", ""parts description""],
[""Mathieu Husser"", ""testing""],
[""Kevin Gorjipour"", ""cloning""],
[""Thiban Navaratnarajah"", ""Refills materials and stock solutions""],
[""Jessica Chetrit"", ""collaboration""],
[""Jessica Chetrit"", ""outreach""],
[""Sam Babity"", ""PCR""],
[""Carlo Baccalaro"", ""Wiki development""]
]",2015,Concordia,Team:Concordia#Team_-_-_TEXT.html
"[[""Chris Lastihenos"", ""worked mainly on the wetware component of the project""],
 [""Karlin Yeh"", ""designing hardware for the team's various experiments""],
 [""Karlin Yeh"", ""repairing hardware""],
 [""Lily Lin"", ""math adviser""],
 [""Lily Lin"", ""helping Dionne learn Spanish""],
 [""Lily Lin"", ""partner-in-crime in CSA""],
 [""Lily Lin"", ""exercising eloquent oral skills in Toastmasters""],
 [""Tushar Nichakawade"", ""resolving dermal ailments""],
 [""Yingfu Ma"", ""making software into hardware""],
 [""Yingfu Ma"", ""hunting down PCR machines""],
 [""John Song"", ""playing games""],
 [""Keith Joseph"", ""working on the wetwork""],
 [""Susung Choi"", ""playing for the professional League of Legends team""],
 [""Susung Choi"", ""programming""],
 [""Jean Lam"", ""being named Jean""],
 [""Soon Yi"", ""watching Interstellar""],
 [""Soon Yi"", ""having Tushar do transformations and PCR clean up""],
 [""Oliver Medvedik, PhD"", ""running experiments""],
 [""Oliver Medvedik, PhD"", ""managing GenSpace""]]",2015,Cooper_Union,Team:Cooper Union#Team_-_-_TEXT.html
"[[""Yingfu Ma"", ""designed and built Loomino""],[""Karlin Yeh"", ""designed and built Loomino""],[""Susung Choi"", ""designed and built Loomino""],[""Susung Choi"", ""programmed the Arduino""],[""John Song"", ""programmed the Arduino""],[""Lily Lin"", ""programmed the Arduino""],[""Tushar Nichakawade"", ""ensured the biology of Loomino was possible""],[""Keith Joseph"", ""ensured the biology of Loomino was possible""],[""Jean Lam"", ""ensured the biology of Loomino was possible""],[""Christopher Lastihenos"", ""ensured the biology of Loomino was possible""],[""John Song"", ""ensured the biology of Loomino was possible""],[""Dac Anh"", ""ensured the biology of Loomino was possible""],[""Dac Anh"", ""assisted on the design of the device""]]",2015,Cooper_Union,Team:Cooper Union#Attributions_-_-_TEXT.html
"[[""Dominika"", ""participation on iGEM 2015""], [""Ivana"", ""working with people impacted by our device""], [""Vicky"", ""incorporating human practices in Amsterdam""], [""Brooke"", ""linking biology and computer science""], [""Andreea"", ""connecting different technologies""], [""Aseem"", ""changing intrigue for synthetic biology into practice""], [""Liusaidh"", ""interacting with diverse group of people""], [""Patrick"", ""making a difference in lives of people""], [""Michelle"", ""exploring possibilities of synthetic biology""]]",2015,Edinburgh,Team:Edinburgh#Team_-_-_TEXT.html
"[[""Elliott Chapman"", ""supervising in the lab""],
 [""Elliott Chapman"", ""organising team presentation training""],
 [""Dr. David Clarke"", ""providing assistance in the design and execution of lab experiments""],
 [""Professor Chris French"", ""providing experimental design input""],
 [""Dr. Louise Horsfall"", ""providing input and provision of lab materials""],
 [""Dr. Jon Marles-Wright"", ""providing inspiration, input, team support, lab space and materials""],
 [""Dr. Jane Calvert"", ""providing feedback on our human practices content and activities""],
 [""Professor Alistair Elfick"", ""providing feedback on experiments, presentations and poster""],
 [""PhD student Laura Tuck"", ""providing assistance in the lab""],
 [""Dr. Baojun Wang"", ""providing input on the biological approach behind our project""],
 [""Dr. Valentin Zulkower"", ""offering assistance and input on the modeling of our biosensor""],
 [""Luca Barone"", ""designing our project's logo""],
 [""Hamish Linhen"", ""providing photographs of Edinburgh""],
 [""Aimée Fletcher"", ""providing photographs of Edinburgh""],
 [""Constantine Talalaev"", ""providing help and material in the Edinburgh university FabLab for laser cutting and 3D printing""],
 [""Patrick Arant"", ""spearheading the policy and practices""],
 [""Patrick Arant"", ""assisting on the wiki""],
 [""Andreea Cucu"", ""designing the wiki""],
 [""Andreea Cucu"", ""teaching everyone how to put up content""],
 [""Ivana Lapsanska"", ""characterisation of parts""],
 [""Ivana Lapsanska"", ""policy and practices""],
 [""Michelle Marufu"", ""design and execution of characterisation of parts""],
 [""Vicky Moynihan"", ""providing input for the policy and practices""],
 [""Vicky Moynihan"", ""assisting with InterLab measurements""],
 [""Vicky Moynihan"", ""general molecular biology""],
 [""Aseem Narang"", ""modeling the physical device""],
 [""Aseem Narang"", ""designing the physical device""],
 [""Aseem Narang"", ""designing its software""],
 [""Liusaidh Owen"", ""design and creation of the 71 biobricks""],
 [""Liusaidh Owen"", ""in charge of the InterLab study""],
 [""Dominika Pelegrinova"", ""stepping in anywhere in the molecular biology""],
 [""Dominika Pelegrinova"", ""making cell lysates for enzyme characterisation""],
 [""Brooke Rothschild-Mancinelli"", ""designing and creating the 71 biobricks""],
 [""Brooke Rothschild-Mancinelli"", ""assisting in the InterLab study""]]",2015,Edinburgh,Team:Edinburgh#Attributions_-_-_TEXT.html
"[[""Moyra Chikomo"", ""part of the Kent iGEM team""], [""Raneem Jaghoub"", ""part of the Kent iGEM team""], [""Jonathan Pope"", ""part of the Kent iGEM team""], [""Rob Middlewick"", ""part of the Kent iGEM team""], [""Richard Crane"", ""part of the Kent iGEM team""], [""James Aston"", ""working on the modeling""], [""James Aston"", ""working on the wiki""], [""Katarina Pisani"", ""part of the Kent iGEM team""], [""Anna Beltrami"", ""part of the Kent iGEM team""], [""Suparna Thakali"", ""part of the Kent iGEM team""], [""Suparna Thakali"", ""communicate with the general public during the public workshop outreach event""], [""Natalie Sloan"", ""part of the Kent iGEM team""], [""Alice Tomlinson"", ""part of the Kent iGEM team""], [""Ben Blakeman"", ""helped the wet lab team""], [""Morena"", ""helped the wet lab team""], [""Dr Wei-Feng Xue"", ""research on protein-protein/protein-ligand interactions""], [""Dr Wei-Feng Xue"", ""research on amyloid assembly""], [""Dr Mark Shepherd"", ""research on chlorophyll and haem biosynthesis""], [""Dr Mark Shepherd"", ""research on E. coli respiration""], [""Dr Mark Shepherd"", ""research on globin proteins""], [""Dr Mark Shepherd"", ""research on bacteria response to nitric oxide""], [""Dr Gianluca Marcelli"", ""helped the modeling team""], [""Dr Gianluca Marcelli"", ""created a Monte Carlo simulation""], [""Dr Mark Wass"", ""research in Structural Bioinformatics""], [""Dr Mark Wass"", ""analysis and prediction of protein function""], [""Dr Mark Wass"", ""analysis of genetic variation""]]",2015,Kent,Team:Kent#Team_-_-_TEXT.html
"[[""James"", ""developed tools to predict the growth and production of amyloid nanowires""], [""Moyra"", ""developed tools to predict the growth and production of amyloid nanowires""], [""Raneem"", ""developed tools to predict the growth and production of amyloid nanowires""], [""Moyra"", ""communicate with other iGEM teams""], [""Raneem"", ""communicate with other iGEM teams""], [""Alice"", ""communicate with other iGEM teams""], [""Anna"", ""communicate with other iGEM teams""], [""Katarina"", ""carried out wet lab experiments""], [""Richard"", ""carried out wet lab experiments""], [""Alice"", ""carried out wet lab experiments""], [""Natalie"", ""carried out wet lab experiments""], [""Suparna"", ""carried out wet lab experiments""], [""Jonathan"", ""carried out wet lab experiments""], [""Anna"", ""carried out wet lab experiments""], [""Rob"", ""carried out wet lab experiments""], [""James"", ""organised and coded the wiki""], [""Natalie"", ""organised and coded the wiki""], [""Raneem"", ""organised and coded the wiki""], [""Raneem"", ""interviewed international politicians""], [""Raneem"", ""developed a questionnaire on synthetic biology""], [""James"", ""created the code for the wiki pages""], [""James"", ""helped the UNITN iGEM team create a model""], [""Anna"", ""managed the social network channels""], [""Anna"", ""liaised the collaborations with the UNITN iGEM team""], [""Moyra"", ""wrote our POST note""], [""Moyra"", ""helped in the creation of a questionnaire on synthetic biology""], [""Richard"", ""validation of our fusion protein""], [""Rob"", ""played a key part in the scientific writing of our project""], [""Katarina"", ""involved in our outreach events""], [""Katarina"", ""contributed to the scientific writing""], [""Jonathan"", ""created our posters""], [""Jonathan"", ""designed our presentations""], [""Jonathan"", ""helped with the scientific and wiki writing""], [""Jonathan"", ""managed the social networking of the team""], [""Natalie"", ""designed and wrote the wiki""], [""Natalie"", ""created the Kent iGEM logo""], [""Suparna"", ""identified and designed biobrick parts""], [""Suparna"", ""involved in our outreach events""], [""Alice"", ""gathered MPs opinion on synthetic biology""], [""Alice"", ""aided in the design of our questionnaire""], [""Alice"", ""presented our project to other teams""]]",2015,Kent,Team:Kent#Attributions_-_-_TEXT.html
"[[""NEFU China 2015 team"", ""grateful for funding our iGEM project""],
 [""Discipline of Developmental Biology faculty"", ""letting us use their laboratory space""],
 [""Discipline of Developmental Biology faculty"", ""granting access to laboratory equipment""],
 [""Discipline of Developmental Biology faculty"", ""providing guidance throughout our project""],
 [""Five instructors"", ""helping improve our project""],
 [""Five instructors"", ""guiding us to do better in the final presentation""],
 [""Five instructors"", ""spending time and efforts in our competition""],
 [""Wuhan wonmay web service Co.,Ltd"", ""helping in designing the template of our wiki""],
 [""Team NUDT-China"", ""assisting in the improvement of our online platform, Flight iGEM""],
 [""Previous iGERMers"", ""sharing their experience of the iGEM""],
 [""Previous iGERMers"", ""giving us useful suggestions""]]",2015,NEFU_China,Team:NEFU China#Attributions_-_-_TEXT.html
[],2015,NEFU_China,Team:NEFU China#Team_-_-_TEXT.html
