text,year,team,page
"[[""Gabriel Dominguez"", ""Expression Guide""], [""Giulio Barth"", ""Functional Architecture""], [""Scott Fukuoka"", ""Compatibility""], [""Alex Codik"", ""Wet Lab""]]",2016,BioBricks,Team:BioBricks#Attributions_-_-_TEXT.html
"[[""Giulio Barth"", ""PhD candidate on Open Source with focus on Synthetic Biology""], [""Alex Codik"", ""majoring in biochemistry""], [""Gabriel Dominguez"", ""majoring in Electrical Engineering""], [""Scott Fukuoka"", ""completed an undergrad degree in bioengineering""], [""Conary Meyer"", ""grad in Bioengineering""], [""Drew Endy"", ""P.I.""], [""Linda Kahl"", ""P.I.""]]",2016,BioBricks,Team:BioBricks#Team_-_-_TEXT.html
"[[""Sarah Fletcher"", ""raised enough money to enter 4 boys and the PI to Jamboree""]]",2016,CLSB-UK,Team:CLSB-UK#People_-_-_TEXT.html
[],2016,CLSB-UK,Team:CLSB-UK#Templates#People_-_-_TEXT.html
"[[""Clemens von Stengel"", ""entered iGEM""],[""Clemens von Stengel"", ""attended numerous conferences""],[""Clemens von Stengel"", ""interned at CyBio and LabGenius""],[""Clemens von Stengel"", ""contributed to research""],[""Clemens von Stengel"", ""contributed to experimental design""],[""Clemens von Stengel"", ""created the wiki""],[""Jake Mendel"", ""provides intellectual heft""],[""Jake Mendel"", ""research""],[""Jake Mendel"", ""badgering potential sponsors and collaborators""],[""James Ng"", ""head of human practices""],[""James Ng"", ""written several articles and pamphlets""],[""Cameron Anderson"", ""contributed to research""],[""Cameron Anderson"", ""carried out numerous experiments""],[""Cameron Anderson"", ""searched for potential sponsors""],[""Cameron Anderson"", ""written articles on synthetic biology""],[""Cameron Anderson"", ""attaché to iGEM delegation""],[""Frederick-Tyler MacBruce"", ""carries out mini-prep isolation""],[""Frederick-Tyler MacBruce"", ""carries out restriction digests""],[""Frederick-Tyler MacBruce"", ""carries out ligation""],[""Frederick-Tyler MacBruce"", ""carries out purification""],[""Elias Manuelides"", ""created art for the wiki""],[""Elias Manuelides"", ""involved in experiments""],[""Jake Hung"", ""involved in experiments""],[""Naail Kashif-Khan"", ""researched various topics""],[""Naail Kashif-Khan"", ""helped out in the lab""],[""Gulzar Uddin"", ""carried out experiments""],[""Michael O'Connor"", ""wrote biographies""],[""Michael O'Connor"", ""worked on folding of primers""],[""Michael O'Connor"", ""wrote an article""],[""Adam Zivanic"", ""organizing the project""],[""Adam Zivanic"", ""coordinating the project""],[""Adam Zivanic"", ""taught synthetic biology""]]",2016,CLSB-UK,Team:CLSB-UK#Team_-_-_TEXT.html
"[[""Sara White"", ""taught necessary microbiological techniques and ways of working in sterile environment""],[""PI"", ""taught molecular biology techniques""],[""PI"", ""discussed cloning strategies""],[""PI"", ""taught experimental techniques used and safety procedures""],[""Paulina Bartasun and John Rowland"", ""discussed methods specific to working with Synechocystis PCC6803""],[""Imperial iGEM team"", ""checked through cloning strategies""],[""Imperial iGEM team"", ""helped with minipreps issue""],[""Clemens"", ""worked on the wiki""],[""Clemens"", ""guided the team through wiki development""],[""Elias"", ""created charcoal drawings for the wiki""],[""Mr Zivanic"", ""helped with copying and pasting of code on the wiki""],[""Tom Kelly"", ""helped with printing the poster""],[""James"", ""responsible for researching human practices aspects""]]",2016,CLSB-UK,Team:CLSB-UK#Attributions_-_-_TEXT.html
"[[""Kathinka"", ""made CryptoGErM art""],[""Daniel"", ""made the logo""],[""Yazzer Perez"", ""teamwork icon""],[""Eunji Kang"", ""connection icon""],[""Vítor Carvalho"", ""software engineering icon""],[""creative outlet"", ""Idea settings icon""],[""Flaticon/Freepik"", ""Toolbox icon""],[""Lloyd Humphreys"", ""DNA icon""],[""Carla Dias"", ""Scissors icon""],[""bilel djettaou"", ""Petri icon""],[""lipi"", ""Check Mark icon""],[""Anthony Bossard"", ""Erlenmeyer Flask icon""],[""To Uyen"", ""up icon""],[""Nikita Sokolov"", ""plus and minus icons""],[""Grant Taylor Sizemore"", ""Safety Goggle icon""],[""James Keuning"", ""Lab Coat icon""],[""Gan Khoon Lay"", ""Forbidden Food icon""],[""Carlos Dias"", ""Hand Washing icon""],[""Bluetip Design"", ""Checked icon""],[""Inka Mahlandt"", ""editing videos""],[""Justin Knight"", ""iGEM Giant Jamboree photos""],[""Matthia"", ""modelling in CryptoGErM""],[""Carlos"", ""help with modelling""],[""Marco"", ""built software & wiki""],[""Luis"", ""help with software & wiki""],[""Bara"", ""help with software & wiki""],[""Mareike"", ""help with software & wiki""],[""Chris Veness"", ""AES in Javascript""],[""chitchcock"", ""CRC16-CCITT in Javascript""],[""Jos Roerdink"", ""feedback on modelling""],[""Bayu Jayawardhana"", ""inspiration for modelling""],[""Luis"", ""managed Human Practices""],[""Bente"", ""managed Human Practices""],[""Kathinka"", ""help with Human Practices""],[""Ilona"", ""help with Human Practices""],[""Mareike"", ""help with Human Practices""],[""G. van Willingen"", ""CBRN Safety and Security advice""],[""National Cyber Security Center"", ""comments on project development""],[""JaapJan Hoogstins"", ""facilities and interview for CryptoGErM""],[""C.J.B. van der Vlugt-Bergmans"", ""orientation in GMO regulations""],[""Diana Flores Flores"", ""feedback on survey""],[""Eike"", ""working in the lab""],[""Daniel"", ""working in the lab""],[""Bara"", ""working in the lab""],[""Sambit"", ""working in the lab""],[""Mareike"", ""working in the lab""],[""Ilona"", ""working in the lab""],[""Bente"", ""working in the lab""],[""Carlos"", ""working in the lab""],[""Ben L. Feringa"", ""supplied spirofloxacin and chemical expertise""],[""Mickel J. Hansen"", ""supplied spirofloxacin and chemical expertise""],[""Michael M. Lerch"", ""supplied spirofloxacin and chemical expertise""],[""Wiktor Szymanski"", ""supplied spirofloxacin and chemical expertise""],[""Jan-Willem Veening"", ""feedback on lab work""],[""Jan Kiel"", ""help with lab equipment""],[""Ger Telkamp"", ""help with lab equipment""],[""Luiza Morawska"", ""tips on Bacillus subtilis and pDR111 plasmid""],[""Ard Jan Grimbergen"", ""showed how the plate reader works""],[""Lance Keller"", ""introduction to FACS data analysis""],[""The janitors"", ""rescued spores from broken centrifuge""],[""Yue Sun"", ""contributions to the project""],[""Peter Rauch"", ""moral support""],[""Erik Sikkema"", ""supervised Ilona's internship""],[""Marco Wiering"", ""spiritual support and inspiration""],[""Marc van der Maarel"", ""presentation coaching""]]",2016,Groningen,Team:Groningen#Attributions_-_-_TEXT.html
"[[""Eike Mahlandt"", ""keep the team happy and make sure there are always cookies around""], [""Bente Hofstra"", ""in charge of our educational work and coordinating public relations""], [""Daniel Devlitsarov"", ""obtaining lab equipment and materials""], [""Daniel Devlitsarov"", ""helping plan the labwork""], [""Daniel Devlitsarov"", ""ensuring biological safety""], [""Daniel Devlitsarov"", ""proofreading emails and writing assignments""], [""Daniel Devlitsarov"", ""contacting potential sponsors""], [""Daniel Devlitsarov"", ""helping with the artwork""], [""Sambit Das"", ""centered around the wet lab""], [""Luis Suarez"", ""in charge of the travel to Boston""], [""Luis Suarez"", ""part of the Human Practices""], [""Matthia Sabatelli"", ""compute the mathematical models""], [""Mareike Schmidt"", ""convince companies and institutes to support our project""], [""Bára Waclawiková"", ""make sure that everything in the lab is going smoothly and according to the plan""], [""Kathinka Frieswijk"", ""made pretty much all of the drawn images on the wiki""], [""Kathinka Frieswijk"", ""in charge of the design of the poster""], [""Ilona Mager"", ""make notes during the meetings""], [""Carlos Ramírez"", ""lab rat in iGEM""], [""Carlos Ramírez"", ""doing some molecular dynamics and computational analysis""], [""Peter-Jan van het Hof"", ""treasurer of our team""], [""Peter-Jan van het Hof"", ""help obtaining sponsors for our project""], [""Marco Gunnink"", ""data management and the Wiki""], [""Marco Gunnink"", ""responsible for the software part of our project""]]",2016,Groningen,Team:Groningen#Team_-_-_TEXT.html
"[[""Gerben Voshol"", ""helped in collaboration with iGEM Copenhagen by growing cyanobacteria and Bacillus""], [""Gerben Voshol"", ""thinking of new ideas for the experiment""], [""Paul de Raadt"", ""helped in RNA-sequencing analysis""], [""Raymond Brandt"", ""counted on for lab equipment and other lab related issues""], [""Anna Engelbrektson"", ""able to obtain the right Dechloromonas strain""], [""Joost Willemse"", ""instruction on and use of microscopy facilities""], [""Mark Arentshorst"", ""Provided lab space, lab equipment and scientific advice""], [""Davy de Witt"", ""Provided lab equipment and prepared media""], [""André Kuipers"", ""endorsements through video clips""], [""Ionica Smeets"", ""endorsements through video clips""], [""Ype Driessen"", ""made photo-comics to promote project""], [""Poppy Savenije"", ""launch crowdfunding campaign""], [""Wendy Persson"", ""launch crowdfunding campaign""], [""Annette Mullink"", ""launch crowdfunding campaign""], [""Michel Leseman"", ""made an animation for movie endings""], [""Barbara Brünnhuber"", ""Provided foundations of a network for industry contacts""], [""Thomas Dijkmans"", ""Provided contacts in the Leiden Bio Science Park""], [""Matthijs van der Kooij"", ""facilitated collaboration with Airbus Defence & Space Netherlands""], [""Guus Borst"", ""facilitated collaboration with Airbus Defence & Space Netherlands""], [""Hella van Leeuwen"", ""facilitated collaboration with Airbus Defence & Space Netherlands""], [""Pedro Russo"", ""Supported in PR strategies and provided contacts""], [""Jack van Loon"", ""Facilitated contact with the European Space Agency""], [""Jos Frantzen"", ""Aided in contact with local governmental organisations""], [""Zoë Seekles"", ""help in the creation of digital Martian garden""], [""Janna Horjus"", ""provided website with photos""], [""Olga Crapels"", ""Helped to spread the word about project""], [""Federico Muffatto"", ""Supplied colourful bacterial strains for bioart""], [""Adam Thomas"", ""help in composing the Twist Bioscience blog""], [""Sjoerd Seekles"", ""Laboratory work""], [""Charlotte van de Velde"", ""Laboratory work""], [""Valentijn Broeken"", ""Laboratory work""], [""Lisanne van Oosterhoud"", ""Laboratory work""], [""Wouter Liefting"", ""Laboratory work""], [""Lucie Delfos"", ""Laboratory work""], [""Vincent de Bakker"", ""Laboratory work""], [""Frans Rodenburg"", ""Laboratory work""], [""Vincent de Bakker"", ""Crowdfunding""], [""Valentijn Broeken"", ""Crowdfunding""], [""Lisa Verbeij"", ""Crowdfunding""], [""Charlotte van de Velde"", ""Crowdfunding""], [""Max Snijders"", ""Crowdfunding""], [""Lisanne Oosterhoud"", ""Crowdfunding""], [""Lucie Delfos"", ""Collaborations""], [""Charlotte van de Velde"", ""Collaborations""], [""Lisa Verbeij"", ""Collaborations""], [""Lucie Delfos"", ""Interlab study""], [""Charlotte van de Velde"", ""Interlab study""], [""Lisa Verbeij"", ""Interlab study""], [""David van Driel"", ""Oureach & Media""], [""Valentijn Broeken"", ""Oureach & Media""], [""Guus de Wit"", ""Finances""], [""Max Snijders"", ""Finances""], [""Koen Hokke"", ""Finances""], [""David van Driel"", ""Bioreactor""], [""Frans Rodenburg"", ""Bioreactor""], [""Lucie Delfos"", ""Bioreactor""], [""Charlotte van de Velde"", ""lab safety manager""], [""Frans Rodenburg"", ""Statistics""], [""Valentijn Broeken"", ""Posters & Multimedia""], [""Frans Rodenburg"", ""Presentations""], [""Max Snijders"", ""Presentations""], [""Lisa Verbeij"", ""Wiki building""], [""Max Snijders"", ""Wiki building""], [""Guus de Wit"", ""Wiki building""], [""Vincent de Bakker"", ""Wiki building""]]",2016,Leiden,Team:Leiden#Attributions_-_-_TEXT.html
"[[""Charlotte v.d. Velde"", ""Safety manager""]]",2016,Leiden,Team:Leiden#team_-_-_TEXT.html
