text,year,team
"Matches: [[""PhD student Elliott Chapman"", ""Elliott Chapman""], [""Dr. David Clarke"", ""David Clarke""], [""Professor Chris French"", ""Chris French""], [""Dr. Louise Horsfall"", ""Louise Horsfall""], [""Dr. Jon Marles-Wright"", ""Jon Marles-Wright""], [""Dr. Jane Calvert"", ""Jane Calvert""], [""Professor Alistair Elfick"", ""Alistair Elfick""], [""PhD student Laura Tuck"", ""LAURA TUCK""], [""Dr. Baojun Wang"", ""Baojun Wang""], [""Dr. Valentin Zulkower"", ""Valentin Zulkower""], [""Luca Barone"", ""other""], [""Hamish Linhen"", ""other""], [""Aimee Fletcher"", ""other""], [""Constantine Talalaev"", ""other""], [""Aseem Narang"", ""Aseem narang""]]",2015,Edinburgh
"matches: [[""NEFU_China 2015 team"", ""other""], [""Flight iGEM"", ""other""]]",2015,NEFU_China
"matches: [[""Kostya Borisov"", ""Konstantin Borisov""], [""Dr. Jason Lohmueller"", ""Jason Lohmueller""], [""Dr. Alex Deiters"", ""Alexander Deiters""], [""Dr. Hanna Salman"", ""other""], [""Dr. Sanjeev Shroff"", ""other""], [""Dr. Cheryl Telmer"", ""other""], [""Integrated DNA Technologies"", ""other""], [""Ms. Alicia Kemp"", ""other""], [""Brian Lupish"", ""other""], [""Tatyana Yatsenko"", ""other""], [""University of Pittsburgh's Office of the Provost"", ""other""], [""The Swanson School of Engineering"", ""other""], [""The Department of Bioengineering"", ""other""], [""The Department of the Biological Sciences"", ""other""], [""The Department of Chemical & Petroleum Engineering"", ""other""], [""The Department of Chemistry"", ""other""], [""The Department of Electrical & Computer Engineering"", ""other""]]",2015,Pitt
"matches: [[""Dr.S.Iyyapan"", ""other""], [""Dr.Sulochana Somasundaram"", ""other""], [""Mr.Arul"", ""other""], [""Mrs.AmirthaPrabha"", ""other""], [""Mr.Arun"", ""Arun Kumar S""], [""Integrated Device Technology (IDT) company"", ""other""], [""Priority Life sciences company"", ""other""], [""Synergy Biotechnologies company"", ""other""], [""SRM University"", ""other""], [""Mr.T.Ilavarasu"", ""other""], [""MrG.Satish Kumar"", ""other""], [""Mr.J.Hariharan"", ""other""], [""Mr.P.K. Praveen Kumar"", ""other""], [""Mrs.N.Kanagam"", ""other""], [""Mr. Neelavanan Natraj"", ""other""], [""Mr. Benjamin"", ""other""], [""Mr. Rajeev Sharma"", ""other""], [""P.S.S Lakshmi"", ""other""], [""K.Manikandan"", ""other""], [""Mr.Murugavel"", ""other""], [""BioKlone"", ""other""], [""BrioBliss"", ""other""], [""Dr. M. Sivanandham"", ""Prof. M. Sivanandham""], [""Dr.Nalinkanth V. Ghone"", ""Dr. Nalinkanth Ghone""], [""Abraham"", ""Abraham K""], [""Aakash Kumar"", ""Aakash kumar P""]]",2015,SVCE_Chennai
"Matches: [[""Abishek Chozhan"", ""Abhishek Chakraborty""], [""Alice Jin"", ""other""], [""Professor Simpson Joseph"", ""other""], [""Bryan Arias"", ""other""], [""Xinying Shi"", ""other""], [""Aaron Ward"", ""other""], [""Krista Trappl"", ""other""], [""Youssi Athar"", ""other""], [""Reeta"", ""other""], [""Dr. Shulei Sun"", ""other""], [""Dr. Philip Weyman"", ""other""], [""Spencer Scott"", ""other""]]",2015,TP_CC-SanDiego
"Matches: [[""Nanna Heinz"", ""other""], [""Will Wright"", ""other""], [""Kamil Bakowski"", ""other""], [""Maya Bonde"", ""other""], [""Bjorn Hamberger"", ""Bjoern Hamberger""], [""Morten Bo Madsen"", ""other""], [""Henrik Toft Simonsen"", ""other""], [""Asmus Koefoed"", ""other""], [""Christine Fabricius"", ""other""], [""Hansol Bae"", ""other""], [""Johanne Holm"", ""other""], [""Tobias Wagner"", ""other""], [""Carl Erik Olsen"", ""other""], [""Britta Hamberger"", ""other""], [""Nikolaj Lervad Hansen"", ""other""]]",2015,UNIK_Copenhagen
"matches: [[""Dr James Chong"", ""James Chong""], [""Dr Gavin Thomas"", ""Gavin H. Thomas""], [""Dr Alison Parkin"", ""Alison Parkin""], [""Professor Maggie Smith"", ""Maggie Smith""], [""Robyn Whiting"", ""Robyn whiting""], [""Nicola Charlton"", ""other""], [""Dr Jen Dyson"", ""other""], [""Nikki Begg"", ""other""], [""Sam Farrell"", ""other""], [""Andrea Bowen"", ""other""], [""Dr Adrian Harrrison"", ""other""], [""Professor Norman Maitland"", ""other""], [""Dr Peter O'Toole"", ""other""], [""Dr Daniela Barilla"", ""other""], [""Dr Pedro Aguiar"", ""other""], [""Emma Rand"", ""other""], [""Dr Jamie Wood"", ""other""], [""Kazuki Iizuka"", ""other""], [""Daniel Upton"", ""other""], [""Phil Roberts"", ""other""], [""Louise Lindgren"", ""other""], [""Andrew Collingwood"", ""other""], [""Martin Hardgrave"", ""other""], [""Dr Jay Keasling"", ""other""], [""Eva Pan"", ""other""], [""Richard Harris"", ""other""], [""Anthony Hammersley"", ""other""], [""Margaret Hammersley"", ""other""], [""Maria Pickard"", ""other""], [""The Rev'd Dr David Efird"", ""other""], [""Lesley Rudolf"", ""other""], [""Jayne Brotherton"", ""other""], [""Thomas Sheldon-Baker"", ""other""], [""Mat Milner"", ""Mathew T Milner""], [""Katy Davis"", ""Katharine Davis""]]",2015,York
"Matches: [[""Endy Lab"", ""Drew Endy""], [""BioBricks Foundation"", ""other""], [""Drew Endy  PhD"", ""Drew Endy""], [""Linda Kahl  JD"", ""Linda Kahl""]]",2016,BioBricks
"matches: [[""Sarah Fletcher"", ""other""], [""4 boys"", ""other""], [""CLS iGEM team"", ""other""], [""Imperial"", ""other""], [""Collaborations"", ""other""], [""Attributions"", ""other""], [""Sponsors"", ""other""], [""PI"", ""other""], [""CLS"", ""other""], [""Biology"", ""other""], [""Team members"", ""other""], [""Jake Mendel"", ""Jacob Mendel""], [""Jake Hung"", ""Jake Hung (Choso Hiroki)""], [""Sara White"", ""other""], [""Paulina Bartasun"", ""other""], [""John Rowland"", ""other""], [""Mrs S. Fletcher"", ""other""], [""Kirsten Jensen"", ""other""], [""Karen Polizzi"", ""other""], [""Clemens"", ""Clemens von Stengel""], [""Elias"", ""Elias Manuelides""], [""Mr Zivanic"", ""Adam Zivanic""], [""Tom Kelly"", ""other""], [""James"", ""James Ng""], [""City of London School Citizen Team"", ""other""], [""Biology Department"", ""other""]]",2016,CLSB-UK
"[[""Kathinka"", ""Kathinka Frieswijk""], [""Daniel"", ""Daniel Devlitsarov""], [""Mareike"", ""Mareike Schmidt""], [""Yazzer Perez"", ""other""], [""Eunji Kang"", ""other""], [""Vitor Carvalho"", ""other""], [""creative outlet"", ""other""], [""Flaticon/Freepik"", ""other""], [""Lloyd Humphreys"", ""other""], [""Carla Dias"", ""other""], [""bilel djettaou"", ""other""], [""lipi"", ""other""], [""Anthony Bossard"", ""other""], [""To Uyen"", ""other""], [""Nikita Sokolov"", ""other""], [""Grant Taylor Sizemore"", ""other""], [""James Keuning"", ""other""], [""Gan Khoon Lay"", ""other""], [""Carlos Dias"", ""other""], [""Bluetip Design"", ""other""], [""Inka Mahlandt"", ""other""], [""Justin Knight"", ""other""], [""Matthia"", ""Matthia Sabatelli""], [""Carlos"", ""other""], [""Marco"", ""Marco Gunnink""], [""Luis"", ""Luis Enrique Aguilar Suarez""], [""Bara"", ""other""], [""Chris Veness"", ""other""], [""chitchcock"", ""other""], [""Jos Roerdink"", ""other""], [""Bente"", ""Bente Hofstra""], [""Ilona"", ""Ilona Mager""], [""G. van Willingen"", ""other""], [""National Cyber Security Center"", ""other""], [""JaapJan Hoogstins"", ""other""], [""C.J.B. van der Vlugt-Bergmans"", ""other""], [""Diana Flores Flores"", ""other""], [""Eike"", ""Eike Karin Mahlandt""], [""Sambit"", ""Sambit Das""], [""Ben L. Feringa"", ""other""], [""Mickel J. Hansen"", ""other""], [""Michael M. Lerch"", ""other""], [""Wiktor Szymanski"", ""other""], [""Jan Kiel"", ""other""], [""Ger Telkamp"", ""other""], [""Luiza Morawska"", ""other""], [""Ard Jan Grimbergen"", ""other""], [""Lance Keller"", ""other""], [""janitors"", ""other""], [""Yue Sun"", ""other""], [""Peter Rauch"", ""other""], [""Erik Sikkema"", ""other""], [""Marco Wiering"", ""other""], [""Gordon Freeman"", ""other""], [""Marc van der Maarel"", ""other""], [""StackOverflow"", ""other""], [""ImageMagick"", ""other""], [""FFmpeg"", ""other""], [""Mom"", ""other""], [""Dad"", ""other""]]",2016,Groningen
