team,year,page,chunk
Kent,2015,Team:Kent#Team_-_-_TEXT.html,"Team:Kent/Team
iGEM Kent 2015
Toggle navigation
Home
Team
Meet the team
Attributions
Project
Description
Experiments & Protocols
Results
Safety
Achievements
Judging
Parts
Parts
Basic Parts
Composite Parts
Part Collection
Policy and Practices
Policy and Practices
Collaborations
Meet ups
Modeling
Modeling
Software
Notebook
Left to right: Moyra, Raneem, Jonathan, Rob, Richard, James, Katarina, Anna, Suparna, Natalie, Alice
Team
Moyra Chikomo
I’m an Electronics and Communications Engineering student.
I chose to be a part of the Kent iGEM team this year as I wanted to be a part of a research team that was a little out of my field of study. I felt this would be a great chance to use my biology background from school and see if I could integrate that with my passion for engineering.
After I have graduated I am looking into doing further research and work towards a PhD. In the little “free” time I have I enjoy channeling my creative side, this involves general arts and crafts as well as writing short stories (for my eyes only for now ☺☺). I would say watching back to back series takes up a lot of my time and keeps me sane.
Raneem Jaghoub
I am an Electronics and Communications Engineering student at The University of Kent. I chose to do iGEM for the experience and to help me decide whether I would like to continue to do a Masters degree in Genetic Engineering. In my free time I enjoy reading, painting and travelling.
Jonathan Pope
I am a Biology student at The University of Kent. I chose to do iGem because it gives students experience in working in teams with synthetic biology outside of the usual confinements of a syllabus.
In the future i plan to further my study and complete a PhD and gain more experience in the field of Biology. I play for a local mens football team and listen to hours of music in my free time as well as being an avid Arsenal fan.
Rob Middlewick
I am a Biology student at The University of Kent. I chose to join the iGEM team due to my fascination with synthetic biology and because I believe that it is an emerging market. It has provided me with valuable experience working in a research environment that will prepare me to undertake a PhD after I’ve completed my degree. In my spare time I enjoy listening to music, reading, and cooking.
Richard Crane (aka Dave)
I am a Biomedical Sciences student from Ipswich, England studying at The University of Kent. I followed the progress of the 2014 Kent iGEM team and after seeing synthetic biology become more prevalent in the news, I was inspired to join this year.
After I graduate, I would like to pursue a PhD and stay in academia. They say about me: ""Richard  likes to hurt peoples feelings and doesn't care about the wiki"".
James Aston
I am the team's physicist, I spent my time at iGEM working on the modeling and the wiki. I joined the iGEM team because I wanted to be a part of a multidisciplinary team. In my spare time I like to play guitar and watch Always Sunny reruns.
ja403@kent.ac.uk
LinkedIn
Katarina Pisani
I am a Biomedical Sciences student from Trieste, Italy studying at The University of Kent. My reason for joining iGEM was because I wanted a better understanding and experience of what it means to be a researcher, I wanted to gain further knowledge and practical skills, that would enable me to reach my full potential when pursuing my scientific career.
After I graduate I would like to continue with some further studies and specialize as a researcher. I also want to dedicate time for traveling. In my free time I like to play the piano and I also enjoy running and fencing.
Anna Beltrami
I am a Biomedical Sciences student from Trento, Italy studying at The University of Kent.  I decided to join the iGEM team because I was fascinated with the multidisciplinary focus of the competition, the ethos of innovation and the aspect of creativity in the laboratory. After graduation, I am planning to do a PhD and afterwards undertake a career as a patent attorney. In my free time, I enjoy skiing, reading and blogging. I am also in the committee of various societies at The University of  Kent. Fun Fact: I rage when people spell ""defiantly"" instead of ""definitely"".
LinkedIn
Suparna Thakali
I am an undergraduate student from Mustang, Nepal studying Biochemistry at Kent. I am very keen on this field of synthetic biology, hence I have thoroughly enjoyed participating in this project. One of my main highlights was being able to present and communicate with the general public to raise awareness about our project during the public workshop outreach event.
My future aspiration, being heavily influenced by iGEM, is to further my science career into research and even higher education so that I can make a difference in the lives of people in areas of need. Outside the lab, I enjoy swimming, watching sci-fi movies and reading.
Natalie Sloan
I am a Biomedical Science student at The University of Kent. I decided to do iGEM to gain lab experience and to help me decide whether I want to do a masters or PhD. Upon graduation, I hope to further my education and do a PhD. In my free time I enjoy gaming and playing tennis.
""Kaboooooom"" -Alice Tomlinson
I am a Biomedical Sciences student from Toulouse, France studying at The University of Kent. I aspire to pursue a career in research, hence why I decided to join the iGEM team at my university. This decision has further intensified my passion for innovation and research. I would like to live life knowing I am making a difference in the world. In my free time I like to read books, bake and trek.
Ben Blakeman
Ben is a PhD student in the School of Biosciences. When he is not at the gym, he enjoys teaching and entertaining students with his bubbly personality.
Morena
Morena is a PhD student in the School of Biosciences, she regularly helped the wet lab team.
Dr Wei-Feng Xue
Dr Wei-Feng Xue joined the school of Biosciences in 2011 as Lecturer in Chemical biology, and he is now Senior Lecturer in Chemical biology since 2014. He received his PhD degree in Physical Chemistry on research regarding protein-protein/protein-ligand interactions in Prof. Sara Linse’s group at Lund University in Sweden (2006). He then went on to do postdoctoral research concerning the mechanism and the biological impact of amyloid assembly in Prof. Sheena Radford’s laboratory at the Astbury Centre for Structural Molecular Biology in the University of Leeds (2006-2011). His research interests include supramolecular protein assembly, protein folding and misfolding, amyloid and prions, and AFM imaging.
Wei-Feng is a member of the Kent Fungal Group , the Protein Form and Function Group  and the Centre for Molecular Processing
Dr Mark Shepherd
Dr Mark Shepherd joined the School of Biosciences in 2011. He was born in England, was brought up in North Wales, and subsequently studied Biochemistry at the University of Sheffield (1996-1999). He stayed in the Department of Molecular Biology & Biotechnology to undertake a PhD with Professor Neil Hunter FRS (1999-2003), where he developed his interest in the enzymology and spectroscopy of chlorophyll and haem biosynthesis. After completing his PhD studies, he conducted postdoctoral research with Prof. Harry Dailey at the University of Georgia (2003-2005), where his research focussed on the terminal enzymes of haem biosynthesis. This was followed by a move back to the University of Sheffield in 2005 to take up a postdoctoral position with Prof. Robert Poole, where he developed interests in E. coli respiration, globin proteins, and the response of bacteria to nitric oxide. A subsequent position at the University of Queensland (2010-2011) with Prof. Mark Schembri focussed on nitric oxide stress in Uropathogenic E. coli.
In 2011 Mark moved to the University of Kent, where he is a Lecturer in Microbial Biochemistry and a member of the Microbial Pathogenesis Group .
Dr Gianluca Marcelli
Dr Gianluca Marcelli is a lecturer in the School of Engineering and Digital Arts. In the last 9 years of his research career he has been developing mathematical models for biological systems. He helped the modeling team and it was his idea to create a Monte Carlo simulation.
Dr Mark Wass
Mark joined the School of Biosciences in October 2012. He obtained his first degree in Natural Sciences at Cambridge University in 2000 followed by a Masters in Computing at Imperial College London. After a few years working in Industry as an IT consultant Mark studied for a PhD with Prof Mike Sternberg at Imperial (2004-2008) and continued onto a post-doctoral position in the group until 2011. In 2011 Mark was awarded a FEBS Long Term Fellowship to work in the group of Alfonso Valencia at the CNIO (Spanish National Cancer Research Centre, Madrid, Spain).
Mark's research interests are in Structural Bioinformatics particularly the analysis and prediction of protein function, structure and interactions. He is also interested in using such approaches to analyse genetic variation and identify the functional effects that are associated with disease.
Mark is a member of the Cytogenomics and Bioinformatics Group ."
Kent,2015,Team:Kent#Attributions_-_-_TEXT.html,"Team:Kent/Attributions
iGEM Kent 2015
Toggle navigation
Home
Team
Meet the team
Attributions
Project
Description
Experiments & Protocols
Results
Safety
Achievements
Judging
Parts
Parts
Basic Parts
Composite Parts
Part Collection
Policy and Practices
Policy and Practices
Collaborations
Meet ups
Modeling
Modeling
Software
Notebook
Attributions
Project Design
Modeling and Software
Policy and Practice
Wet Lab
Writing
Team Members
Supervisors
Advisors
Sponsors
References
Project design
Our entire team together with the instructors and advisors decided on the project that we are carrying out at the beginning of the summer. The team met up once every week to share project ideas and discuss the direction of the project during the summer. The project that we have designed is to create nanowire from amyloid produced by E.coli creating a more biocompatible and cheaper alternative to current materials used as nanowire. We were inspired by the pioneering work carried out by Ann Hochschild and Viknesh Sivanathan [1] which provided us with information on how to utilise the curli export system of E.coli strain VS45 to form our nanowires. Also the work of Frederick et al. 2014 [2] and Glover et al. 1997 [3] which helped us understand the formation of amyloid and the self-assembling ability of Sup35-NM. The amyloid fusion protein that we have produced has been made using Sup35-NM fused to a cytochrome. More on the description of our project can be found here .
Modelling and software
We wanted to develop tools to predict the growth and production of amyloid nanowires, and to find a way to visually represent the amyloid production of the E.coli bacteria in 3D. This was accomplished by the modeling team consisting of James, Moyra and Raneem. The team developed a new software implementing Brownian dynamics [4] and the Monte Carlo method [5] written in Matlab. Our model and software is available to view here .
Policy and Practice
The main Policy and Practice issues identified by the team is centered on policy and public opinion on the use of bio-nano material. Finding out what the general public and members of parliament thought of our idea was therefore carried out in order to develop a wider understanding of how our product would be received in the real world. A Policy and Practice team consisting of Moyra, Raneem, Alice and Anna was formed to allow us to communicate with other iGEM teams as well as the general public and political figures to gather their opinions and tell them more about our project. More information on our Policy and Practice can be found here .
Wet lab
The wet lab work was naturally given to the bioscientists within the team, including Katarina, Richard, Alice, Natalie, Suparna, Jonathan, Anna and Rob who have carried out a vast range of experiments including but not exclusively AFM (Atomic Force Microscopy) imaging, Gibson Assembly, Ligation and PCR (Polymerase Chain Reaction). This was vital to the success of our project and was our main focus throughout the competition. More of our protocols, experiments and results can be found here .
Writing
Throughout the course of iGEM the whole team have been carrying out research and reading papers related to our project to allow us all to contribute to writing up our final project. We have weekly meetings where we talk to one another about what has been done during the week which we record in our notebook which you can find here . We have designed and written posters, presentations and in depth explanations into our project that the whole team have helped produce. The wiki was organised and coded by our wiki team consisting of James, Natalie and Raneem.
Team members
Raneem AlJaghoub
Raneem was part of the Policy and Practice team. She interviewed international politicians and developed a questionnaire on synthetic biology. Raneem also contributed in the improvement of the wiki as well as constructing the parameters list for the modelling and designing the project. Raneem is one of the presenters at the Boston Jamboree.
James Aston
James developed the model of our system. He went the extra mile and rendered the equations into a new software tool and afterwards rendered 3D animations of our system. James also created the code for the wiki pages. He also helped the UNITN iGEM team by helping to create a model for their system. James is one of the presenters at the Boston Jamboree.
Anna Beltrami
Anna was part of the wet lab team. She performed transformations, produced competent cells and helped capture pictures of the control samples with the Atomic Force Microscope. Anna ran the organisational infrastructure of the team. She also managed the social network channels and the overall communications with other teams, and liaised the collaborations with the UNITN iGEM team. Anna is one of the presenters at the Boston Jamboree.
Moyra Chikomo
Moyra was part of the Policy and Practice team. She wrote our POST note and helped in the creation of a questionnaire on synthetic biology sent to politicians and the general public. She designed and created a GUI (Graphical User Interface) for our projects as well as designing our banner.
Richard Crane
Richard was part of the wet lab team and took part in most of the lab work. His main contribution lies specifically in the validation of our fusion protein by carrying out AFM imaging, Congo red and heme plating. He is also a contender for the team member that has made most agarose gels within the team.
Rob Middlewick
Rob was involved in lab work where he did mostly transformations as well as helping other members of the team with various protocol. He has played a key part in the scientific writing of our project, which included the project description and the description of our BioBricks.
Katarina Pisani
Kat being part of the main lab team was involved in all the wet lab aspects of our project. She has carried out ligations, PCR reactions and run diagnostic restriction digest gels as well as much more. She has also been involved in our outreach events and has contributed to the scientific writing.
Jonathan Pope
Jonathan was also responsible for creating our posters and Envirowire logo. He has presented at our outreach events and has also managed the social networking of the team. He has designed our presentations and helped with the scientific and wiki writing. He has also held the main wet lab team in carrying out diagnostic Congo red plating and transformations. Jonathan is also one of the presenters at the Boston Jamboree.
Natalie Sloan
Natalie took part in designing and writing the wiki and creating the Kent iGEM logo. She is also part of the main wet lab team where she has carried out mini-preps, Gibson assembly, ligations and transformations as well as producing competent cells. Natalie has also contributed to scientific writing for the biobrick parts.
Suparna Thakali
Suparna contributed mainly to the wet lab team where she took part in carrying out restriction DNA digestion, Gibson assembly and ligation reactions. She contributed in identifying and designing biobrick parts to improve, and in results writing. She has also been involved in our outreach events.
Alice Tomlinson
Alice was involved in the Policies and Practise aspect of our project such as gathering MPs opinion on synthetic biology and its possible applications in our society as well as aiding in the design of our questionnaire. She also conducted interviews and presented our project to other teams at our meet-ups. The majority of her time has been spent in the lab carrying out Gibson assembly and diagnostics tests, as well as validating the conductivity of our fusion protein.
Supervisors
Gianluca Marcelli
Mark Shepherd
Mark Wass
Wei-Feng Xue
Advisors
Ben Blakeman
Lee Mun Ching
We would like to thank the following for their support:
University of Kent - for providing us with hosting us in the teaching labs and providing us the funds for our transport.
BBSRC, The Society for Applied Microbiology, The Society for Experimental Biology, The Society for General Microbiology, The Wellcome Trust, The Biochemical Society - for providing funding for our project.
IDT - for providing us with the DNA fragments
References
[1] Sivanathan, V. and Hochschild, A. (2012). Generating extracellular amyloid aggregates using E. coli cells. Genes & Development, 26(23), pp.2659-2667
[2] Frederick, K., Debelouchina, G., Kayatekin, C., Dorminy, T., Jacavone, A., Griffin, R. and Lindquist, S. (2014). Distinct Prion Strains Are Defined by Amyloid Core Structure and Chaperone Binding Site Dynamics. Chemistry & Biology, 21(2), pp.295-305.
[3] Glover, J., Kowal, A., Schirmer, E., Patino, M., Liu, J. and Lindquist, S. (1997). Self-Seeded Fibers Formed by Sup35, the Protein Determinant of [PSI+], a Heritable Prion-like Factor of S. cerevisiae. Cell, 89(5), pp.811-819.
[4] Philipse, A. P. (2011). Notes on Brownian Motion. Utrecht University, Debye Institute, Van’t Hoff Laboratory.
[5] Barlett, V. R., Hoyuelos, M., & Mártin, H. O. (2013). Monte Carlo simulation with fixed steplength for diffusion processes in nonhomogeneous media. Journal of Computational Physics, 239, 51-56."
SDA-Encinitas,2015,Team:SDA-Encinitas#Attributions_-_-_TEXT.html,"Team:SDA-Encinitas/Attributions
Add a banner to your wiki!
You can make the image 980px  by  200px
Remember to call the file: ""Team_SDA-Encinitas_banner.jpg""
HOME
TEAM
PROJECT
Description
Experiments & Protocols
Results
Design
PARTS
Team Parts
Basic Parts
Composite Parts
Part Collection
NOTEBOOK
ATTRIBUTIONS
COLLABORATIONS
HUMAN PRACTICES
SAFETY
MODELING
MEASUREMENT
SOFTWARE
ENTREPRENEURSHIP
Attributions
Each team must clearly attribute work done by the student team members on this page. The team must distinguish work done by the students from work done by others, including the host labs, advisors, instructors, and individuals not on the team roster.
Can we base our project on a previous one?
Yes! You can have a project based on a previous team, or based on someone else's idea, as long as you state this fact very clearly and give credit for the original project.
Why is this page needed?
The Attribution requirement helps the judges know what you did yourselves and what you had help with. We don't mind if you get help with difficult or complex techniques, but you must report what work your team did and what work was done by others.
For example, you might choose to work with an animal model during your project. Working with animals requires getting a license and applying far in advance to conduct certain experiments in many countries. This is difficult to achieve during the course of a summer, but much easier if you can work with a postdoc or PI who has the right licenses.
What should this page have?
General Support
Project support and advice
Fundraising help and advice
Lab support
Difficult technique support
Project advisor support
Wiki support
Presentation coaching
Human Practices support
Thanks and acknowledgements for all other people involved in helping make a successful iGEM team
Inspiration
Take a look at what other teams have done:
2011 Imperial College London (scroll to the bottom)
2014 Exeter
2014 Melbourne
2014 Valencia Biocampus"
SDA-Encinitas,2015,Team:SDA-Encinitas#Team_-_-_TEXT.html,"Team:SDA-Encinitas/Team
Indian Institute of Science Education and Research (IISER), Pune, India
HOME
TEAM
PROJECT
Description
Experiments & Protocols
Results
PARTS
Team Parts
Basic Parts
Composite Parts
Part Collection
NOTEBOOK
ATTRIBUTIONS
COLLABORATIONS
HUMAN PRACTICES
SAFETY
MODELING
MEASUREMENT
SOFTWARE
ENTREPRENEURSHIP
Team
In this page you can introduce your team members, instructors, and advisors.
Inspiration
You can look at what other teams did to get some inspiration!
Here are a few examples:
METU Turkey
Colombia
Stony Brook
OUC-China
What should this page contain?
Include pictures of your teammates, don’t forget instructors and advisors!
You can add a small biography or a few words from each team member, to tell us what you like, and what motivated you to participate in iGEM.
Take team pictures! Show us your school, your lab and little bit of your city.
Remember that image galleries can help you showcase many pictures while saving space."
Minnesota,2015,Team:Minnesota#Team Students_-_-_TEXT.html,"Team:Minnesota/Team Students
Team:Minnesota/Team Students - 2015.igem.org
""
Page
Discussion
View source
History
teams
Log in
 
Team:Minnesota/Team Students
From 2015.igem.org
Team:Minnesota - Main Style Template
Team:Minnesota
HOME
TEAM
PROJECT
SOFTWARE
PRACTICES
NOTEBOOK
ATTRIBUTIONS
SAFETY
SPONSOR
Please mouse over each icon to learn about our hardworking undergraduate team members!
iGEM Home | iGEM Judge-Click Here! | Team Minnesota Info | University of Minnesota | Contact Us!
Retrieved from "" C:\Documents and Settings\aj\Desktop\IGEM webpage\Team_Students.html ""
Recent changes
What links here
Related changes
Special pages
My preferences
Printable version
Permanent link
Privacy policy
Disclaimers"
Minnesota,2015,Team:Minnesota#team_-_-_TEXT.html,"Team:Minnesota/team
Team:SUSTC-Shenzhen - 2014.igem.org
hide forever   |   hide once
""
Page
Discussion
Edit
History
Move
Watch
teams
PatrickHolec
My account
Log out
 
Team:SUSTC-Shenzhen
From 2014.igem.org
Team SUSTC-Shenzhen
Toggle navigation
Home
Project
Notebook
More
Judging Form
Attributions
Team Profile
Search
PatrickHolec
Modelling
Project
Team
Notebook
Parts
Attributions
Human Practice
Safety
Interlab
Maintained by the iGEM team SUSTC-Shenzhen.
Licensed under CC BY 4.0 .
©2014 SUSTC-Shenzhen
Retrieved from "" https://2014.igem.org/Team:SUSTC-Shenzhen ""
Recent changes
What links here
Related changes
Upload file
Special pages
My preferences
Printable version
Permanent link
Privacy policy
Disclaimers"
Minnesota,2015,Team:Minnesota#Team Mentors Advisors_-_-_TEXT.html,"Team:Minnesota/Team Mentors Advisors
Team:Minnesota/Team Mentors Advisors - 2015.igem.org
""
Page
Discussion
View source
History
teams
Log in
 
Team:Minnesota/Team Mentors Advisors
From 2015.igem.org
Team:Minnesota - Main Style Template
Team:Minnesota
HOME
TEAM
PROJECT
SOFTWARE
PRACTICES
NOTEBOOK
ATTRIBUTIONS
SAFETY
SPONSOR
Please mouse over each icon to learn about our brilliant advisors and mentors!
iGEM Home | iGEM Judge-Click Here! | Team Minnesota Info | University of Minnesota | Contact Us!
Retrieved from "" C:\Documents and Settings\aj\Desktop\IGEM webpage\Team_Mentors_Advisors.html ""
Recent changes
What links here
Related changes
Special pages
My preferences
Printable version
Permanent link
Privacy policy
Disclaimers"
Minnesota,2015,Team:Minnesota#Attributions_-_-_TEXT.html,"Team:Minnesota/Attributions
Team:Minnesota/Project/Insulin - 2015.igem.org
""
Page
Discussion
View source
History
teams
Log in
 
Team:Minnesota/Project/Insulin
From 2015.igem.org
Team:Minnesota - Main Style Template
Team:Minnesota - Template
HOME
TEAM
PROJECT
SOFTWARE
PRACTICES
NOTEBOOK
ATTRIBUTIONS
SAFETY
SPONSOR
Attributions
Software + Policies & Practices
• PyMOL360 Educational Tool
      Patrick Holec
• Synthetic Biology Web Scraper
      Patrick Holec
• Mathematical Modeling
      Patrick Holec
• Education, Public Engagement, Outreach
      Andrea Wilgohs, Sarah Lucas, Nicholas Nesbitt, Tanner Cook, Patrick Holec
Wet Lab
      Sarah Lucas, Nicholas Nesbitt, Tanner Cook
Wiki
      Patrick Holec, Nicholas Nesbitt, Abhiney Jain, Basem Al-Shayeb
Labwork and General Project Support
      Basem Al-Shayeb, Sarah Perdue, Casim Sarkar
Special thanks and acknowledgements to Dr. Mark Held (Intrexon) and Dr. Erin Marasco (Cargill) for arranging meetings with us to speak about our Policies and Practices and Project.
iGEM Home | Team Minnesota Info | University of Minnesota Home | Contact Us!
Retrieved from "" C:\Documents and Settings\aj\Desktop\IGEM webpage/Policy And Practices.html ""
Recent changes
What links here
Related changes
Special pages
My preferences
Printable version
Permanent link
Privacy policy
Disclaimers"
Minnesota,2015,Team:Minnesota#Team_-_-_TEXT.html,"Team:Minnesota/Team
Team:Minnesota/Team - 2015.igem.org
""
Page
Discussion
View source
History
teams
Log in
 
Team:Minnesota/Team
From 2015.igem.org
Team:Minnesota - Main Style Template
Team:Minnesota
HOME
TEAM
PROJECT
SOFTWARE
PRACTICES
NOTEBOOK
ATTRIBUTIONS
SAFETY
SPONSOR
Welcome to our team page! Our team is composed of great, enthusiastic, science-loving people! Use the icons on the right to find out more!
iGEM Home | iGEM Judge-Click Here! | Team Minnesota Info | University of Minnesota | Contact Us!
Retrieved from "" C:\Documents and Settings\aj\Desktop\IGEM webpage/Team.html ""
Recent changes
What links here
Related changes
Special pages
My preferences
Printable version
Permanent link
Privacy policy
Disclaimers"
USTC-Software,2015,Team:USTC-Software#Team_-_-_TEXT.html,"Team:USTC-Software/Team
Home
Project
Description
Demo
Future Work
Validation
Team
Team Members
Instructors
Technology
Front End
Back End
Algorithms
Modeling
Notebook
Requirements
Medal
Safety
Collaborations
Human Practices
Technological Activity Week
Meetups
Attributions
Support
iGEM HQ
Fund
Database
There are four groups in our team. Here are our photos.
Biology Group
.
Run-Ze                             Liu
Zi-Yu Wu
Li                             Zhi
Xi-Nan                             Chen
Ling-Yuan Ji
.
Liu Runze, is a junior in Physics, USTC. He has a lot of interests like reading, listening music and watching movies as well. Besides, he has a great interest in computer programming and team management. In USTC-Software team, he is the vice  captain and he is responsible for  Human Practice and Collaboration with USTC team. He is an out-goning guy and he's willing to make friends with others.
Steven is from Nanjing and his major is physics.He has great desire to explore a new field and iGEM enables him to meet different people. He likes playing handball and table tennis. With strong desire to do interdisciplinary study, he is willing to discuss with every iGEMer!
Zhi Li, or Nate, is currently a junior student from School for the Gifted Young (SCGY), USTC.  He has many hobbies，especially music and reading, and sports like soccer as well. In this summer,  he spent a lot time playing chess with others in the intervals of iGEM project. Besides, he is open-minded,  helpful and considered to be interesting when the team members work together. The persistence and optimism  are quite the shining points on him.
CHEN XINAN, or Nancy Chan, is manager of our team as well as a junior majoring Mathematics. She loves Sciences but unfortunately understanding them has always been a tough problem for her. She can undoubtedly be described as an interesting and humorous girl. You just never get bored with her around. Anyone can tell that she ‘hates’ our captain because, as she said, they are not in the same dimensionality. LOL! Nancy develops a lot of hobbies such as swimming, badminton, travelling, skiing, photographing, etc. But not table tennis! You will regret playing with her.
Hi! My name is Lingyuan Ji. I major in Theoretical Physics in USTC. My main contribution to the team is the molecule dynamics algorithm in BioBLESS. I always like to ask why to interesting things and try my best to figure them out. Hey, what's up there? Let's find out why XD.
Artwork Group
.
Qing-Chuan                             Cui
Min-Te Xiang
Kai-Rui                             Wang
Xiao-Fan Yuan
Han-Sheng Jiang
.
Qingchuan Cui,or Dora,is a sophomore.She loves painting,and she believes art can make people happier.She often wants to use her creativity to change the work place into a more interesting place.Sometimes,she comes up with fantastic ideas,which amuse others.
Xiang Minte is a junior in Engineering Science. He enjoys reading all kinds of books and doing some interesting circuit design. He is good at drawing icons by AI and PS. He tries his best to complete the drawing tasks required. He is optimistic and likes smiling and playing jokes. Some times his joke eases tense situation ,but not every time.
Kairui Wang, or Carry, is a sophomore in SCGY. He is only 17, so he always has some unusual ideas to the team. For example, he is sensitive about every detail in art design. Besides, he also plays well in sports. Whenever other team member wants to go out relax, he always followed.
Xiaofan Yuan, is a junior in School of Mathematical Science. She loves maths but she's not sure about that  if maths loves her too. She likes making funny photos to joke with others. She thoughs teamwork make her inspired,  but she HATE to argue with team leader.
Hansheng or Juile is a junior in the school of Mathematics.She loves maths and has great interest in applying maths into practice.She contributed to the project's original idea and mainly worked on the documents after that.She may seem a lit bit shy and laconic at first sight,but she is indeed a passionate girl,who enjoys communicating with others and learning new things!
Front Group
.
Yi-Lin Zhu
Long-Hao Wu
Zong-Xin Yang
Miao-Feng Liu
Zi-Tian Li
Han-Wen Li
.
Zhu Yilin, or George, a sophomore who majors in physics, takes a great interest in programming. Well, maybe neither physics nor programming does he really well in, but still passion remains in his life for getting to know about technological stuffs. Of course, there are many things that are his enjoyments, such as travelling, reading books, and writing essays to express his love to his life occasionally. In this year’s competition, his work is coding team’s wiki along with his teammates, and he is having a lot of fun in finding the beauty of programming!
Wulonghao, and you can call him Bill. This guy is a young geek OTAKU who is deeply in love with ACG and science. Maybe sounds awesome, but that is really creepy actually. When not knowing how to write the code, he will go around the room or the building even the whole house. And all what he has done or what he is dong have nothing to do with his major, Physics.
Zongxin Yang, often called St. Yang, who comes from School of Information Science and Technology, USTC, has just entered sophomore year in this semester. His frankness and easy-going make him quite welcome in our team. Also, he is a crazy fan of football and chess. It is worth mentioning that he is one of the members of school football team. His hometown lies in the north of Guilin, which is famous as one of China's most picturesque cities. In our project, he has undertaken mainly the front-end code, and proves to be hard-working.
Liu Miaofeng, is a sophomore student from USTC. He helps the team for the editor of wiki. He is interested in programming and DIY something useful, for example, he participated the robot competition. Besides, he is friendly to others, but he may be a little shy. So you could try to communicate with him and enjoy the conversation.
LI Zitian, is a junior in Physics and Computer Science and Technology.He has a great interest in computer programming. For example, he is skilled in C, C++, Java, Python, HTML, CSS, JavaScript and so on. He has wrote several websites because of the interests during the school life, so he is experienced in Front-end web develop. What's more, he is also interested in biology. For the reasons given above, he wants to join the team USTC-Software.
Henry, or Li Hanwen, was a freshman in electrical engineering. He works in front-end group and makes the wiki. He is so zhuangbility that he knows a lot about computer technology cursorily but not profoundly. He loves table tennis and singing. He has an ambition to be a bass and have a low-frequency voice.
Backend Group
.
Zhang                             Hao
Si-Yuan Zhuang
Tian-Yi                             Cui
Yan-Xuan Cui
Run-Ze                             Wang
.
Zhang Hao, or Trumpet, is a sophomore in Physics. YES, his English name is Trumpet, because his Chinese name has the similar sound with the trumpet.he loves cats, and he is simply the most artless person in the whole team. Sometimes, He even labels himself as a 'cat'.
Si-Yuan Zhuang, majoring in Computer Science, having mastery of programming and bug-fixing,   contributes a lot to improving the quality of the code and designing the cache system. He often  has fun with others (e.g. hacking Zhang Hao's server). Though once a platform developed by him  for our software was deprecated, he did not feel depressed.
Tianyi Cui, known as little Cui, is the leader of the backend of our project. He has a bad eyesight but he seldom take his glasses. He is an outcome boy in the team, always filling with novel ideas in his mind. He could play a little ping-pong ball but he never wins Zhi Li.
Cui Yanxuan, or E-Neo (His screen name) is a jonior majoring in Geophysics (seems nothing to do with biology?). He is interested in computer and crazy about opensource software. He is a memeber of the backend group. After join the team, he spent a lot of time to learn about sythetic biology. Besides, he loves playing games with other teamates.
Instructors & Advisors
Liu Hanyan
Liang Zhi
Hong Jiong
Jin Fan
University of Science and Technology of China
No.96, Jinzhai Road, Hefei, Anhui, P.R.China
USTC-Software 2015
University of Science and Technology of China
©2015 USTC-Software, University of Science and Technology of China. All rights reserved.
We are here for you
Sponsered by"
